Exercise,Muscle
Start,Start
End,End
Body Weight,Body Weight
Body Weight Parallette Push-Up,Body Weight
Body Weight Parallette Close Grip Push-Up,Body Weight
Body Weight Parallette Wide Grip Push-Up,Body Weight
Body Weight Parallette Pike Push-Up,Body Weight
Body Weight Parallette Pseudo Push-Up,Body Weight
Body Weight Parallette Straight Bar Push-Up,Body Weight
Body Weight Dips,Body Weight
Core,Core
Meditation,Mind
Run,Cardio
Walk,Cardio
Barbell Squat,Quadriceps
Dumbbell Squat,Quadriceps
Body Weight Squat,Quadriceps
Barbell Box Squat,Quadriceps
Barbell Jump Squat,Quadriceps
Barbell Front Squat,Quadriceps
Dumbbell Goblet Squat,Quadriceps
Body Weight Goblet Squat,Quadriceps
Barbell Bulgarian Split-Squat,Quadriceps
Dumbbell Bulgarian Split-Squat,Quadriceps
Body Weight Bulgarian Split-Squat,Quadriceps
Barbell Walking Lunge,Quadriceps
Dumbbell Walking Lunge,Quadriceps
Body Weight Walking Lunge,Quadriceps
Barbell Standing Lunge,Quadriceps
Dumbbell Standing Lunge,Quadriceps
Body Weight Standing Lunge,Quadriceps
Body Weight Reverse Lunge,Quadriceps
Barbell Step Up,Quadriceps
Dumbbell Step Up,Quadriceps
Body Weight Step Up,Quadriceps
Machine Leg Press,Quadriceps
Machine Single-Leg Press,Quadriceps
Machine Seated Leg Press,Quadriceps
Machine Laying Leg Press,Quadriceps
Machine Hack Squat,Quadriceps
Body Weight Pistol Squat,Quadriceps
Machine Seated Leg Extension,Quadriceps
Barbell Deadlift,Glutes_Hamstrings
Barbell Sumo Deadlift,Glutes_Hamstrings
Barbell Deadlifts from Deficit,Glutes_Hamstrings
Barbell Deadlifts from Blocks,Glutes_Hamstrings
Barbell Romanian Deadlift,Glutes_Hamstrings
Dumbbell Romanian Deadlift,Glutes_Hamstrings
Barbell Stiff-Legged Deadlift,Glutes_Hamstrings
Dumbbell Stiff-Legged Deadlift,Glutes_Hamstrings
Barbell Hip Thrust,Glutes_Hamstrings
Dumbbell Hip Thrust,Glutes_Hamstrings
Barbell Glute Bridge,Glutes_Hamstrings
Dumbbell Glute Bridge,Glutes_Hamstrings
Machine Seated Leg Curl,Glutes_Hamstrings
Machine Standing Leg Curl,Glutes_Hamstrings
Machine Laying Leg Curl,Glutes_Hamstrings
Machine Reverse Hyperextension,Glutes_Hamstrings
Machine Glute-Ham Raise,Glutes_Hamstrings
Body Weight Glute-Ham Raise,Glutes_Hamstrings
Cable One-Legged Kickback,Glutes_Hamstrings
Cable Pull Through,Glutes_Hamstrings
Machine Calf Raise,Calves
Barbell Calf Raise,Calves
Dumbbell Calf Raise,Calves
Machine Calf Extension (Seated),Calves
Machine Leg Press Calf Extension (Seated/Laying),Calves
Barbell Flat Bench Press,Chest
Dumbbell Flat Bench Press,Chest
Dumbbell Twist Bench Press,Chest
Barbell Incline Bench Press,Chest
Dumbbell Incline Close-Grip Bench Press,Chest
Dumbbell Incline Bench Press,Chest
Barbell Decline Bench Press,Chest
Dumbbell Decline Bench Press,Chest
Machine Chest Press,Chest
Machine Incline Chest Press,Chest
Machine Decline Chest Press,Chest
